item_1,item_2,item_3,item_4,item_5,item_6,type
1,1,1,1,1,1,pre
3,3,3,3,3,2,pre
3,4,4,4,4,4,pre
2,1,1,1,1,1,pre
2,2,2,2,2,3,pre
2,1,1,1,1,1,pre
2,2,3,2,1,1,pre
3,3,3,3,3,2,pre
3,4,3,3,3,3,pre
2,4,2,1,2,2,pre
3,3,3,3,3,3,pre
3,4,3,3,3,3,pre
2,2,2,3,2,2,pre
1,1,1,1,1,1,pre
3,2,2,2,3,3,pre
3,2,2,2,2,2,pre
2,1,1,1,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
4,4,4,4,4,3,pre
3,2,2,1,1,1,pre
2,1,2,2,1,1,pre
3,4,3,3,3,3,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,4,3,3,3,3,pre
3,4,3,3,3,3,pre
2,3,1,1,1,1,pre
2,1,1,1,1,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
3,4,3,3,3,4,pre
4,4,4,4,4,3,pre
2,2,1,1,1,1,pre
2,3,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
1,2,1,1,1,1,pre
4,3,2,3,3,3,pre
1,1,1,1,1,1,pre
4,4,3,4,3,1,pre
4,4,3,3,3,4,pre
2,3,2,2,2,2,pre
3,4,1,1,1,1,pre
3,3,1,1,2,1,pre
2,2,1,1,1,1,pre
1,2,1,2,3,3,pre
3,2,2,3,3,3,pre
1,1,1,1,1,1,pre
3,4,3,3,3,2,pre
2,2,2,2,1,1,pre
3,3,2,2,3,3,pre
1,1,1,1,1,1,pre
2,3,2,2,3,2,pre
2,2,3,3,3,3,pre
2,2,3,3,2,2,pre
3,3,3,2,3,3,pre
4,4,4,4,4,4,pre
3,4,3,3,2,3,pre
3,2,2,2,2,2,pre
3,3,1,1,1,1,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
2,1,2,2,2,2,pre
2,1,1,2,1,1,pre
3,4,3,4,4,3,pre
3,4,4,4,2,1,pre
1,3,1,1,1,1,pre
4,4,4,4,4,4,pre
4,4,3,3,3,2,pre
4,4,2,2,2,3,pre
3,3,3,3,3,3,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
4,4,4,4,4,4,pre
2,4,2,2,2,1,pre
2,2,2,2,1,2,pre
3,3,3,3,3,3,pre
3,3,2,2,3,2,pre
3,3,3,3,3,3,pre
3,3,3,3,3,3,pre
2,1,1,2,1,1,pre
2,4,2,1,2,3,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
2,2,1,1,1,1,pre
2,3,2,2,2,3,pre
3,2,2,2,3,3,pre
1,1,1,1,1,1,pre
3,3,4,4,3,3,pre
1,2,1,1,1,1,pre
2,1,2,1,2,1,pre
4,4,2,2,2,2,pre
2,2,2,1,2,1,pre
1,1,1,1,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,2,2,2,1,pre
3,4,4,4,4,4,pre
2,2,3,3,2,1,pre
2,3,2,2,2,2,pre
1,1,2,2,1,1,pre
3,3,3,3,3,2,pre
2,1,1,1,1,1,pre
2,3,2,2,3,3,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,4,4,3,3,3,pre
4,4,4,4,4,4,pre
2,2,1,1,1,1,pre
2,2,2,2,2,2,pre
3,2,3,3,2,3,pre
1,1,2,1,1,1,pre
2,2,1,1,2,1,pre
3,3,2,3,2,3,pre
2,2,2,2,2,2,pre
2,3,2,2,1,1,pre
2,3,3,2,3,1,pre
3,1,2,1,2,1,pre
3,4,2,2,2,1,pre
4,4,4,4,4,4,pre
2,2,3,2,2,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
3,3,3,3,2,2,pre
3,2,2,1,2,1,pre
3,4,3,4,3,4,pre
2,3,3,3,3,2,pre
1,1,1,1,2,2,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,4,4,4,4,4,pre
3,3,3,2,3,3,pre
3,2,2,2,2,2,pre
2,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,2,3,2,3,1,pre
4,4,1,1,4,4,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
3,2,2,2,2,2,pre
4,4,2,2,1,2,pre
2,2,3,3,2,2,pre
4,4,4,4,4,4,pre
2,1,1,1,1,1,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
4,3,3,4,4,4,pre
4,3,4,3,4,3,pre
3,4,4,3,3,3,pre
2,2,1,1,1,1,pre
2,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,2,3,2,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,2,3,2,pre
3,4,2,2,2,2,pre
1,1,1,1,1,1,pre
2,3,2,2,3,1,pre
2,3,2,2,2,1,pre
4,4,4,4,4,4,pre
3,2,1,1,1,1,pre
2,3,3,3,3,2,pre
4,4,4,4,4,4,pre
3,3,2,4,4,2,pre
1,1,1,1,1,1,pre
3,2,3,3,3,2,pre
1,1,2,1,1,1,pre
2,2,2,3,2,2,pre
3,3,2,2,3,3,pre
4,4,4,4,4,4,pre
2,2,2,1,1,1,pre
2,3,1,1,1,1,pre
3,3,1,1,2,2,pre
2,2,3,2,2,2,pre
3,3,3,3,3,3,pre
3,4,1,2,2,1,pre
4,4,4,4,4,4,pre
2,3,2,2,2,2,pre
3,3,2,2,3,2,pre
1,2,2,1,2,1,pre
3,1,1,1,1,1,pre
4,4,4,4,3,4,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,4,2,3,2,pre
3,3,2,2,2,1,pre
3,3,3,2,2,2,pre
2,2,2,2,2,2,pre
3,4,3,3,3,3,pre
2,4,2,2,2,2,pre
4,2,3,2,2,3,pre
3,3,3,3,3,3,pre
3,2,4,3,3,4,pre
4,4,4,4,4,3,pre
1,1,1,1,1,1,pre
3,3,1,1,1,1,pre
4,3,3,4,4,4,pre
3,4,4,4,4,4,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
1,3,1,1,1,1,pre
3,3,3,3,3,3,pre
1,1,2,2,1,1,pre
3,4,3,4,3,3,pre
4,4,3,2,4,4,pre
3,3,3,3,3,3,pre
1,1,1,2,1,1,pre
1,1,1,1,1,1,pre
1,2,2,1,2,2,pre
2,4,2,2,2,2,pre
1,1,1,1,1,1,pre
3,2,2,2,2,2,pre
2,3,2,2,1,3,pre
3,3,2,2,2,2,pre
2,2,2,3,3,1,pre
3,3,3,3,3,3,pre
2,2,1,2,2,1,pre
1,1,1,1,1,1,pre
2,2,1,1,1,1,pre
4,4,4,4,4,4,pre
3,4,4,4,3,3,pre
2,2,1,1,1,1,pre
2,1,3,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,2,4,3,4,3,pre
1,1,1,1,1,1,pre
2,2,3,3,3,3,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
4,3,3,3,2,2,pre
1,1,1,1,1,1,pre
3,3,4,4,3,3,pre
3,4,3,3,2,2,pre
4,4,4,4,4,3,pre
4,4,4,4,4,4,pre
2,2,2,2,2,2,pre
3,4,2,2,3,2,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
1,1,2,1,1,1,pre
2,2,3,2,2,2,pre
3,4,3,2,3,2,pre
4,4,4,4,4,4,pre
4,4,3,2,3,2,pre
4,4,3,3,3,3,pre
3,3,1,1,1,1,pre
3,4,3,3,3,2,pre
3,4,3,3,3,2,pre
2,4,1,1,3,3,pre
3,3,3,3,3,3,pre
2,2,1,1,2,2,pre
2,4,2,2,2,2,pre
2,3,2,3,3,2,pre
3,4,3,2,3,2,pre
2,3,2,2,1,1,pre
1,4,3,3,3,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,2,pre
4,2,3,3,4,1,pre
2,1,3,2,2,2,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,4,3,2,3,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,1,pre
3,3,3,3,3,2,pre
2,2,3,3,3,3,pre
2,2,2,2,2,1,pre
3,4,3,3,3,3,pre
3,3,2,2,3,3,pre
2,2,1,1,1,1,pre
2,2,2,2,2,2,pre
2,2,2,2,2,2,pre
1,1,2,2,1,2,pre
1,1,1,1,1,1,pre
2,3,1,2,1,1,pre
2,2,3,2,2,2,pre
3,3,3,3,3,3,pre
3,3,2,3,2,2,pre
3,3,3,3,3,3,pre
3,3,3,3,4,4,pre
1,2,1,1,2,1,pre
1,1,1,1,2,1,pre
3,4,2,2,3,3,pre
2,1,1,1,1,1,pre
3,3,2,2,2,2,pre
3,3,3,2,3,3,pre
4,4,4,4,4,4,pre
3,3,3,4,3,3,pre
2,2,3,3,2,2,pre
2,2,2,2,2,2,pre
1,2,1,1,1,1,pre
1,1,1,1,1,1,pre
2,1,1,1,1,1,pre
1,1,1,1,1,1,pre
2,3,1,1,2,2,pre
2,3,2,3,3,1,pre
1,3,1,1,1,1,pre
2,3,2,2,3,2,pre
3,3,2,2,1,2,pre
1,1,1,1,1,1,pre
4,4,2,3,2,1,pre
1,1,1,1,1,1,pre
3,3,2,2,2,2,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
2,3,3,3,3,2,pre
3,4,3,3,3,3,pre
3,3,3,2,2,3,pre
3,3,3,3,3,3,pre
4,4,4,4,4,4,pre
1,3,2,2,2,2,pre
4,4,4,4,4,4,pre
2,3,1,3,3,2,pre
3,2,3,2,1,1,pre
4,4,3,3,3,3,pre
4,3,2,2,2,2,pre
3,4,4,2,3,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
2,2,2,2,1,1,pre
3,3,2,2,2,2,pre
1,1,1,1,1,1,pre
3,4,2,2,3,2,pre
3,2,2,1,3,2,pre
1,1,2,2,3,2,pre
2,2,1,1,2,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
2,3,1,2,3,2,pre
4,3,3,3,2,1,pre
2,3,2,2,2,2,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
2,3,3,2,2,1,pre
2,3,2,2,2,1,pre
3,2,3,3,3,2,pre
1,1,1,1,1,1,pre
4,3,3,4,4,3,pre
3,3,4,2,4,1,pre
3,3,3,3,3,2,pre
2,3,2,2,3,3,pre
3,3,2,2,2,1,pre
2,3,2,1,2,2,pre
3,3,3,3,2,2,pre
3,3,3,2,2,2,pre
4,4,3,3,3,1,pre
3,3,3,3,3,3,pre
3,2,1,1,1,1,pre
2,1,2,2,1,1,pre
3,3,2,2,2,2,pre
3,3,3,3,3,3,pre
2,3,2,2,2,2,pre
1,1,1,1,1,1,pre
3,2,2,3,2,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
4,4,3,3,4,4,pre
2,2,2,2,2,2,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
2,1,1,1,1,1,pre
3,4,4,3,3,3,pre
2,3,2,3,3,2,pre
1,1,2,2,1,1,pre
2,2,2,2,3,3,pre
2,4,4,2,2,1,pre
3,3,3,3,3,3,pre
1,2,1,2,2,1,pre
1,1,1,1,1,1,pre
3,3,2,2,2,2,pre
3,3,3,3,4,3,pre
4,4,4,4,4,4,pre
1,3,2,3,2,2,pre
2,3,2,1,2,1,pre
2,3,2,1,2,2,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,3,2,2,2,3,pre
1,2,1,1,1,1,pre
3,2,2,2,2,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,1,pre
2,2,2,2,2,1,pre
2,3,3,2,2,2,pre
3,4,3,3,3,3,pre
3,4,4,3,4,4,pre
2,2,1,1,1,1,pre
2,1,1,1,1,1,pre
3,4,3,3,3,3,pre
3,4,3,3,3,3,pre
2,3,3,3,3,3,pre
1,1,1,1,1,1,pre
3,3,3,3,3,1,pre
3,3,4,3,2,2,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
2,1,1,1,1,1,pre
1,3,1,1,1,1,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
2,3,2,2,3,2,pre
4,4,4,4,4,4,pre
2,3,3,3,3,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
2,3,2,2,2,2,pre
3,4,2,2,3,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,3,3,2,3,3,pre
3,3,3,3,3,4,pre
4,4,4,3,4,4,pre
2,2,2,2,2,2,pre
3,3,3,3,3,3,pre
3,4,3,2,3,2,pre
2,2,2,2,2,2,pre
2,3,4,4,3,3,pre
2,2,2,2,2,2,pre
1,1,1,1,2,1,pre
2,2,2,1,2,1,pre
2,1,1,1,1,1,pre
1,4,1,1,1,2,pre
3,4,4,3,4,4,pre
4,4,3,4,3,4,pre
1,2,1,1,1,1,pre
1,2,1,1,1,1,pre
3,3,3,3,3,3,pre
3,3,3,3,3,3,pre
3,3,4,3,3,3,pre
1,1,1,1,1,1,pre
2,3,3,2,2,2,pre
4,4,4,4,4,4,pre
3,3,2,2,2,2,pre
3,2,3,2,2,3,pre
3,3,1,1,2,3,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
2,1,2,2,2,2,pre
4,4,3,3,3,1,pre
4,4,3,3,4,3,pre
1,1,1,1,1,1,pre
3,3,3,2,2,1,pre
2,2,2,2,2,2,pre
1,1,1,1,2,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,4,3,4,4,3,pre
2,4,4,4,4,3,pre
1,1,1,1,1,1,pre
2,3,1,1,2,2,pre
1,1,1,1,1,1,pre
1,2,1,1,1,1,pre
3,3,3,3,3,3,pre
4,4,3,4,3,4,pre
2,2,2,2,2,2,pre
2,2,2,2,2,2,pre
3,3,3,3,3,3,pre
3,3,3,2,3,3,pre
2,2,4,2,2,2,pre
2,2,2,2,2,2,pre
4,4,4,4,4,4,pre
3,4,3,3,3,3,pre
3,3,3,3,3,3,pre
3,3,3,3,3,3,pre
4,4,3,3,3,3,pre
4,4,4,4,4,4,pre
4,4,4,3,4,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
2,4,3,2,2,1,pre
2,2,2,2,2,2,pre
3,3,3,3,3,3,pre
2,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,2,3,2,3,3,pre
1,1,1,1,1,1,pre
2,3,2,1,2,1,pre
2,3,1,1,2,1,pre
3,3,3,3,3,3,pre
2,1,1,1,1,1,pre
2,2,1,1,1,1,pre
4,4,4,4,4,4,pre
2,3,1,1,2,1,pre
1,2,1,1,1,1,pre
3,2,2,2,2,2,pre
1,2,1,1,2,2,pre
2,2,2,2,2,2,pre
1,3,3,1,1,3,pre
3,2,2,1,2,3,pre
4,4,4,4,4,4,pre
3,3,3,3,3,2,pre
3,3,3,2,2,2,pre
1,1,1,1,1,1,pre
4,3,2,3,3,4,pre
3,3,3,3,3,3,pre
2,1,1,2,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,4,2,2,3,2,pre
3,3,3,3,3,3,pre
4,4,4,4,3,3,pre
4,3,2,2,3,2,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
3,4,3,3,3,3,pre
3,2,2,2,2,2,pre
3,3,3,3,3,2,pre
1,1,1,1,1,1,pre
3,1,2,2,2,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
1,3,1,1,1,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,3,3,3,3,2,pre
3,3,3,3,3,3,pre
2,3,2,3,2,3,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
3,4,2,2,4,4,pre
3,4,3,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,4,3,4,2,3,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
4,4,1,2,1,1,pre
1,1,1,1,1,1,pre
3,3,3,3,2,2,pre
3,3,3,3,3,3,pre
1,3,3,3,2,1,pre
2,3,3,2,3,3,pre
2,3,2,2,1,1,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
2,3,3,3,2,1,pre
2,4,2,2,3,3,pre
3,3,2,2,3,2,pre
4,4,2,2,3,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,2,2,2,3,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
2,3,2,2,3,2,pre
4,4,4,4,4,4,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,4,4,4,4,3,pre
3,2,2,2,2,1,pre
1,1,1,1,1,1,pre
2,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,2,3,2,1,pre
3,3,3,3,3,3,pre
4,4,2,2,2,2,pre
2,2,1,1,2,2,pre
3,2,1,3,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
2,2,1,1,2,2,pre
1,1,1,1,1,1,pre
3,2,2,2,2,1,pre
3,4,4,3,4,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
4,4,2,2,1,1,pre
3,3,3,3,3,3,pre
3,3,2,2,1,1,pre
2,2,3,3,2,2,pre
2,2,2,2,2,2,pre
2,2,3,2,3,2,pre
4,4,4,4,4,4,pre
2,3,1,1,1,1,pre
1,1,1,1,1,1,pre
3,4,3,2,2,2,pre
2,2,2,2,2,2,pre
4,4,4,4,4,4,pre
2,1,2,2,2,1,pre
3,3,4,3,2,3,pre
2,1,1,1,1,1,pre
3,2,3,2,2,1,pre
3,3,3,3,3,3,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,3,2,2,2,4,pre
1,1,2,1,1,1,pre
3,4,2,2,3,3,pre
2,2,2,2,2,2,pre
1,1,2,2,1,1,pre
3,3,4,2,2,3,pre
3,4,2,3,3,3,pre
3,2,3,3,3,3,pre
3,2,2,2,2,2,pre
3,1,1,1,2,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
1,2,1,1,1,1,pre
2,4,2,2,2,1,pre
1,2,2,1,2,1,pre
3,2,4,2,3,3,pre
3,3,2,3,4,3,pre
1,1,1,1,1,1,pre
1,2,1,1,1,1,pre
2,2,2,1,2,1,pre
3,2,2,2,2,1,pre
2,3,3,2,3,2,pre
3,3,3,2,4,2,pre
1,1,1,1,1,1,pre
2,2,3,2,1,1,pre
3,3,3,2,2,2,pre
2,2,2,2,2,3,pre
3,2,3,4,2,2,pre
1,1,1,1,1,1,pre
4,3,4,4,3,3,pre
1,1,1,1,1,1,pre
2,1,1,1,2,2,pre
3,2,1,2,2,2,pre
2,2,2,2,2,2,pre
4,4,3,3,3,2,pre
3,3,3,3,3,3,pre
3,3,2,2,3,2,pre
2,1,1,2,1,1,pre
4,4,4,4,4,4,pre
3,2,3,2,2,4,pre
1,1,1,1,1,2,pre
3,2,3,2,2,2,pre
3,3,3,3,3,3,pre
4,3,3,3,4,3,pre
2,2,3,2,1,1,pre
2,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,2,2,3,3,2,pre
3,3,4,3,3,3,pre
4,4,3,3,3,3,pre
1,1,1,1,1,1,pre
2,3,2,2,2,2,pre
2,3,3,2,3,3,pre
2,2,2,1,2,1,pre
2,2,1,1,1,1,pre
3,2,3,2,3,3,pre
4,4,4,4,4,1,pre
3,3,2,3,3,2,pre
2,2,3,2,3,3,pre
2,2,2,2,2,2,pre
3,3,3,3,3,3,pre
4,4,2,2,2,2,pre
1,1,1,1,1,1,pre
2,1,2,1,1,1,pre
3,4,3,3,3,3,pre
3,2,3,2,3,2,pre
4,4,4,3,4,4,pre
3,3,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
2,2,1,2,2,1,pre
3,2,3,2,2,2,pre
2,2,2,2,2,2,pre
3,4,3,2,3,2,pre
3,4,4,4,4,4,pre
4,4,4,4,4,4,pre
3,3,3,2,3,2,pre
2,3,2,2,3,3,pre
3,4,2,2,1,1,pre
3,4,3,2,2,2,pre
3,3,2,2,2,2,pre
3,3,3,2,3,3,pre
4,4,3,3,3,3,pre
3,2,3,1,3,2,pre
4,4,4,3,3,3,pre
2,2,1,1,1,1,pre
2,3,2,2,2,2,pre
4,3,3,4,3,2,pre
2,2,3,3,2,2,pre
2,2,2,1,1,2,pre
3,3,4,3,3,3,pre
3,3,3,3,3,3,pre
3,2,3,4,3,3,pre
2,2,1,1,1,1,pre
3,4,3,3,3,4,pre
3,3,3,3,3,2,pre
2,3,2,1,1,1,pre
2,2,3,3,2,1,pre
2,2,1,1,1,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
1,3,1,1,1,2,pre
3,4,3,3,3,3,pre
4,4,4,4,4,4,pre
1,2,1,1,2,1,pre
3,3,2,2,4,4,pre
2,3,2,2,3,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
3,3,4,4,3,3,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
3,3,3,3,3,3,pre
3,2,2,2,2,2,pre
3,3,3,3,3,3,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
3,3,2,2,1,1,pre
3,3,3,2,2,2,pre
4,4,2,3,3,2,pre
3,4,3,3,3,3,pre
2,3,1,1,1,1,pre
2,3,2,2,3,3,pre
2,2,2,2,4,2,pre
3,4,3,3,2,2,pre
1,2,1,1,2,1,pre
3,3,2,3,2,1,pre
3,3,3,3,3,3,pre
3,3,3,3,3,3,pre
1,2,2,1,1,1,pre
2,2,2,2,1,1,pre
3,3,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,2,3,3,3,pre
1,2,2,1,1,2,pre
1,1,1,1,1,1,pre
2,3,3,2,3,2,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
3,4,3,4,4,3,pre
3,2,3,3,2,4,pre
3,4,2,2,4,2,pre
2,2,2,2,2,2,pre
2,3,2,2,2,2,pre
2,2,2,2,2,2,pre
2,2,1,1,1,1,pre
3,4,3,4,4,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,3,3,3,2,3,pre
3,2,3,1,2,2,pre
2,3,2,3,3,3,pre
2,4,3,2,2,2,pre
2,3,1,2,3,4,pre
2,1,2,1,1,2,pre
3,3,3,3,3,3,pre
2,2,1,2,2,3,pre
1,2,2,2,1,1,pre
4,4,3,3,3,3,pre
2,1,2,1,1,1,pre
2,2,1,1,1,1,pre
4,4,4,4,4,4,pre
1,1,1,1,1,1,pre
2,2,2,2,2,2,pre
2,2,2,2,2,2,pre
3,2,2,2,2,2,pre
1,1,1,1,1,1,pre
2,1,2,1,1,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
4,4,4,3,3,3,pre
3,2,3,2,3,2,pre
2,2,2,2,2,2,pre
3,4,4,4,4,4,pre
3,3,3,3,3,3,pre
2,2,1,1,1,1,pre
4,3,3,3,3,2,pre
1,1,1,1,1,1,pre
3,2,2,2,2,2,pre
3,2,2,2,2,3,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
3,3,1,1,3,1,pre
2,2,3,2,2,1,pre
2,3,3,2,3,2,pre
2,2,3,2,3,4,pre
4,4,3,3,2,2,pre
1,1,2,3,2,2,pre
1,1,1,1,1,1,pre
2,4,1,1,2,1,pre
2,3,2,2,3,2,pre
2,2,2,2,2,2,pre
4,4,4,4,4,4,pre
3,3,2,2,1,1,pre
2,2,1,1,1,1,pre
3,3,4,4,4,4,pre
3,3,1,2,1,1,pre
2,2,2,2,2,2,pre
1,1,1,1,1,1,pre
3,1,1,3,2,3,pre
3,3,3,3,3,3,pre
3,3,2,2,3,2,pre
1,4,1,1,1,1,pre
3,1,1,1,3,1,pre
1,1,1,1,1,1,pre
2,1,1,1,1,2,pre
2,2,1,1,1,1,pre
1,2,2,2,1,1,pre
2,3,2,2,3,3,pre
3,1,2,2,1,2,pre
3,4,2,1,1,1,pre
1,1,1,1,1,1,pre
3,4,3,2,3,2,pre
2,3,2,2,2,2,pre
1,1,1,1,1,1,pre
2,2,2,2,2,1,pre
1,1,1,1,1,1,pre
3,3,1,1,1,1,pre
2,2,2,2,2,2,pre
3,3,3,3,3,3,pre
3,3,3,3,3,4,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
3,2,4,4,4,4,pre
3,2,2,2,2,1,pre
1,2,1,1,2,2,pre
2,1,1,1,1,1,pre
4,4,4,4,4,3,pre
3,4,3,3,2,4,pre
3,3,2,2,2,1,pre
2,2,2,2,2,2,pre
3,3,2,2,2,1,pre
3,3,3,3,3,3,pre
2,2,3,2,1,2,pre
3,4,3,3,3,1,pre
3,1,2,2,3,3,pre
2,2,1,1,2,2,pre
3,3,3,2,2,1,pre
4,4,3,2,2,2,pre
3,4,1,1,1,1,pre
4,4,4,4,4,4,pre
3,4,3,2,4,2,pre
4,3,4,4,4,4,pre
4,4,3,4,4,3,pre
2,2,2,2,2,2,pre
3,4,3,3,3,1,pre
3,3,3,3,2,2,pre
4,4,4,4,4,4,pre
1,2,2,1,1,1,pre
2,2,2,2,2,2,pre
2,1,1,1,1,1,pre
2,1,1,1,1,1,pre
4,4,4,4,4,2,pre
1,3,2,1,2,1,pre
4,4,4,4,4,4,pre
3,4,3,2,3,3,pre
3,3,2,2,1,2,pre
1,1,1,1,1,1,pre
4,4,4,4,4,4,pre
4,4,4,4,4,4,pre
2,1,1,1,1,1,pre
3,1,2,1,2,1,pre
1,1,1,1,1,1,pre
2,1,2,2,1,1,pre
4,4,4,4,4,4,pre
2,3,2,1,2,1,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
1,1,2,2,2,1,pre
4,3,4,2,3,3,pre
1,1,1,1,1,1,pre
2,2,1,1,1,1,pre
1,2,1,1,2,1,pre
4,4,4,4,4,4,pre
1,1,2,1,1,1,pre
3,3,3,3,3,3,pre
1,1,1,1,1,1,pre
1,1,1,1,1,1,pre
3,3,3,3,3,3,pre
2,2,2,2,2,2,pre
4,4,3,3,2,2,pre
3,3,2,2,2,1,pre
2,2,3,1,1,2,pre
1,1,1,1,1,1,pre
4,4,3,3,3,3,pre
3,2,1,1,2,2,pre
3,4,3,2,3,2,pre
